@relation kr-vs-kp

@attribute X1_f1 numeric
@attribute X1_f2 numeric
@attribute X1_f3 numeric
@attribute X1_f4 numeric
@attribute X1_f5 numeric
@attribute X1_f6 numeric
@attribute X1_f7 numeric
@attribute X1_f8 numeric
@attribute X1_f9 numeric
@attribute X1_f10 numeric
@attribute X1_f11 numeric
@attribute X1_f12 numeric
@attribute X1_f13 numeric
@attribute X1_f14 numeric
@attribute X1_f15 numeric
@attribute X1_f16 numeric
@attribute X1_f17 numeric
@attribute X1_f18 numeric
@attribute X1_f19 numeric
@attribute X1_f20 numeric
@attribute X1_f21 numeric
@attribute X1_f22 numeric
@attribute X1_f23 numeric
@attribute X1_f24 numeric
@attribute X1_f25 numeric
@attribute X1_f26 numeric
@attribute X1_f27 numeric
@attribute X1_f28 numeric
@attribute X1_f29 numeric
@attribute X1_f30 numeric
@attribute X1_f31 numeric
@attribute X1_f32 numeric
@attribute X1_f33 numeric
@attribute X1_f34 numeric
@attribute X1_f35 numeric
@attribute X1_f36 numeric
@attribute X2_f1 numeric
@attribute X2_f2 numeric
@attribute X2_f3 numeric
@attribute X2_f4 numeric
@attribute X2_f5 numeric
@attribute X2_f6 numeric
@attribute X2_f7 numeric
@attribute X2_f8 numeric
@attribute X2_f9 numeric
@attribute X2_f10 numeric
@attribute X2_f11 numeric
@attribute X2_f12 numeric
@attribute X2_f13 numeric
@attribute X2_f14 numeric
@attribute X2_f15 numeric
@attribute X2_f16 numeric
@attribute X2_f17 numeric
@attribute X2_f18 numeric
@attribute X2_f19 numeric
@attribute X2_f20 numeric
@attribute X2_f21 numeric
@attribute X2_f22 numeric
@attribute X2_f23 numeric
@attribute X2_f24 numeric
@attribute X2_f25 numeric
@attribute class {-1.0,1.0}

@data
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.130498587226272,15.404555109071294,10.667384278514822,10.515580918473642,14.121762164383911,12.956735577490662,12.598606712179878,12.05082738904024,13.763157170017958,11.4567191938258,15.373369008723715,13.230826079657742,14.541037362055052,13.133820321173843,12.363230166634365,13.438055668604177,11.900712189242729,14.193493309542047,12.019463710321066,15.226158149890152,11.0862473528746,16.952927234049056,12.601602394187266,13.868897994318075,14.084675479806776,1
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,13.042106069549734,14.648319440494689,10.98406665811388,12.42943380790895,13.928941191414005,11.808354237608818,12.748002306469438,12.479300189730472,12.955220121085132,11.874774931098283,15.251012243922917,12.013383004155942,12.3711360605356,13.193307984647763,11.153660668623804,13.707026973870096,11.005108641138683,13.03765686018968,12.296232913218978,12.68364520008592,10.84432960221892,16.1767722808853,13.54983394025864,13.502053549166249,13.489462311262749,-1
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.148585986106342,16.544084141895866,13.007824412841549,13.36282753288184,17.175472256504946,15.104271060080308,13.830853474310778,12.494348904527234,15.235082267512585,12.063493372990882,14.993901071851784,14.126021118440828,14.403569269321071,13.786139768693214,14.886043010360677,17.17723072899244,13.438920022973775,13.997480897344388,13.40149657663112,15.582084661407915,14.185765376283252,18.68461346750388,13.85060632866293,15.317533194695123,16.252038955424155,-1
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,12.772383842857142,14.509384484689347,10.342240999953916,11.517732229589985,13.159751336342412,11.929376626099208,11.983030652535394,12.115989883704556,11.747300610201288,11.634317450858846,15.30537579198035,10.823144172575349,13.066040782949967,12.349293129750892,11.734090457584008,13.509196200810427,10.360804033320385,12.55599548540578,11.772026787297044,12.829872740884914,10.55965590324499,17.180082245052713,13.964868011824548,13.40076072828888,13.38409628095358,1
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14.898825475325832,17.481194423574582,11.812705197824853,12.604369637177756,15.58867741198038,13.570296957073593,13.276797000857496,12.619918396548565,14.09072347566944,13.171579178468605,16.795839635597986,13.826968623892984,14.43984269365547,14.212056944733906,13.208803382331224,14.630604828602536,13.089498217813066,15.087004295918655,14.246943275656887,15.454345301407516,12.40458260309349,18.180675278741383,14.581469427126196,14.27457325672426,15.671647265130876,1
1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,14.685244930954488,15.426025617135815,11.373161322204774,11.994040798204948,14.808404023579769,13.692063140769315,12.444535766755454,13.166662217290408,14.396042717960938,12.550344905324213,15.324754718406403,12.99326333401044,13.58754132112244,13.367026070240692,12.686320414026383,14.857082411972964,12.840024521811166,14.578782850124846,12.8834536240891,14.476254321567945,11.55409157008934,17.89223819429861,12.80930708433926,13.51976106061826,14.95434357616498,1
1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,14.149700734427956,14.95803906876168,11.408023325139022,12.681544193154307,16.395608038695407,13.319838534715448,11.669937168039093,11.525579936559062,14.57018243739125,11.116150705708694,13.854266257475748,13.187243790365349,13.161242592480091,12.59055507928089,11.319634364952766,14.388022716505189,11.331946809550915,13.070989156057436,12.721909422270528,13.793635641801892,12.27402713072878,17.02740243128195,12.607526078083286,13.250724044880265,14.69074318555504,-1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,17.33995784492909,17.81259865683117,13.62603303876347,14.2411474242177,18.29146721585859,16.616144062003585,14.77866579885708,15.173668000863676,17.084185575028663,13.792212526646244,17.31982924628998,15.714252271963955,16.59192088383353,15.390933588916536,16.217971315459828,17.62041429568511,14.89235869147705,16.731067000007435,14.761757534313206,16.59944583480001,14.948044737591754,20.39747973849824,15.779831808701005,16.828303659495827,18.36166389488639,-1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,14.852113410237957,16.240549544898844,11.740273705147905,13.021638595062727,17.525898627041062,14.171447258746522,12.27158924364176,13.105138291870553,15.596203981930788,12.233506475915702,15.820509064438223,13.44583818683899,14.9544898250458,13.576418910959172,12.33024131913181,16.201397254307835,12.568009556279558,13.52407793170307,13.0098450174404,14.543777459206147,12.376522610770404,18.23806921182618,13.240022668210226,14.58830247858326,15.65410498827373,1
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,15.0269257072274,16.789141458321062,11.86855042342876,12.11640085249288,16.353182406343233,14.874625229935695,12.744166371644589,12.340800882516374,15.587896103690102,12.929326528898466,14.850460363667352,12.872069799364798,14.161746755314034,12.897855516402744,12.72411001400918,16.753559285517287,12.466749414530051,13.224144172745012,13.782659955749375,13.7973240534704,13.199895102121458,17.03271457911968,13.251814085472516,14.43285390763362,16.71910675623478,1
