X1_f1,X1_f2,X1_f3,X1_f4,X1_f5,X1_f6,X1_f7,X1_f8,X1_f9,X1_f10,X1_f11,X1_f12,X1_f13,X1_f14,X1_f15,X1_f16,X1_f17,X1_f18,X1_f19,X1_f20,X1_f21,X1_f22,X1_f23,X1_f24,X1_f25,X1_f26,X1_f27,X1_f28,X1_f29,X1_f30,X1_f31,X1_f32,X1_f33,X1_f34,X1_f35,X1_f36,X1_f37,X1_f38,X1_f39,X1_f40,X1_f41,X1_f42,X1_f43,X1_f44,X1_f45,X1_f46,X1_f47,X1_f48,X1_f49,X1_f50,X1_f51,X1_f52,X1_f53,X1_f54,X1_f55,X1_f56,X1_f57,X1_f58,X1_f59,X2_f1,X2_f2,X2_f3,X2_f4,X2_f5,X2_f6,X2_f7,X2_f8,X2_f9,X2_f10,X2_f11,X2_f12,X2_f13,X2_f14,X2_f15,X2_f16,X2_f17,X2_f18,X2_f19,X2_f20,X2_f21,X2_f22,X2_f23,X2_f24,X2_f25,X2_f26,X2_f27,X2_f28,X2_f29,X2_f30,X2_f31,X2_f32,X2_f33,X2_f34,X2_f35,X2_f36,X2_f37,X2_f38,X2_f39,X2_f40,X2_f41,label,perm_1,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,perm_8,perm_9,perm_10
1.0,0.0,0.0,0.0,0.029412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050567,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.857143,0.0,0.0,1.0,0.0,1.0,0.0,0.333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.298984301487963,7.281184966783207,6.949062426907147,9.104735248595645,7.178361662512928,9.291649001518266,7.427976903375512,7.145497130133572,8.38683671508058,6.878986109210234,9.331056037703073,6.033967489323087,8.321545174959109,6.412562799583435,7.058355230000702,8.070423280644777,7.719240919231768,7.296205367992679,6.9533671578974054,8.147470910063955,10.083947548882112,7.177157755194025,7.409430321052106,6.973253749933555,6.50628897472054,8.663648981299826,9.545710287482756,7.911487467391764,7.329827626923595,7.933976181316873,6.793851900534184,7.193406087865284,5.341502610925857,7.442450194844505,5.356453443978613,10.086103722427335,5.666503218265063,7.644603505913537,7.165262034012742,7.4843981791179495,9.389983849442931,-1.0,689.0,919.0,181.0,175.0,209.0,647.0,963.0,989.0,871.0,752.0
0.0,1.0,0.0,0.0,0.647059,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31369,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.333333,1.0,0.0,0.0,0.0,0.053571,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.724758768202954,6.407947967718932,7.4197521880274255,5.831636659096883,6.291730775786188,7.795655545262143,6.051004410964928,6.234566933074942,6.918455771565646,6.36284337627748,8.430884998032148,5.897283187527515,6.665811972084272,6.105756184924815,6.419868100094126,6.205510418420872,6.489653871745105,7.19653484927778,5.040920342544023,5.195699517289271,6.741298657177443,6.479109894065542,4.826078363602753,6.6768446198455145,5.990241174354664,5.971345080781996,7.657890727068535,6.943485091043454,5.601740989334348,8.094977833652287,6.693362150040185,5.749486991062973,4.900381625002557,6.454403965638147,5.611939310011484,8.45878529393667,3.8011800500225292,5.600859131230097,5.795331056329472,6.920162390140759,8.520374015784913,1.0,39.0,478.0,258.0,686.0,834.0,15.0,98.0,563.0,951.0,744.0
0.0,0.0,0.0,1.0,0.117647,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.101574,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.666667,1.0,0.0,0.0,0.0,0.535714,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.9377268212445395,6.661941861971714,6.487375533802071,7.577912479399918,6.820948094934558,7.898441061226297,6.283685299144915,5.028016800621226,6.729242066668316,6.151045216259925,7.860915134124101,7.232966896132993,7.2399117960986334,6.803681638098855,7.933905140668536,8.388246741686164,5.662777726497371,6.946011110426451,5.425819689837649,6.994857608937564,8.050555168165538,6.950244426837816,6.3107295592831605,7.23348130011248,6.251596182361313,7.781425260053521,7.731228398102247,7.7446686703468535,5.83621434393713,9.60671320676786,6.136268905619731,7.0505221649679655,7.592271644328443,6.102581034506379,7.6515366382694046,8.303652776717383,8.15120997758205,6.552795503616773,5.793472696360926,6.191728579382308,8.990376566832973,-1.0,862.0,82.0,621.0,500.0,397.0,798.0,761.0,316.0,192.0,93.0
1.0,0.0,0.0,0.0,0.558824,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.464286,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.674671991845537,7.377618846625791,7.869720203866526,8.71861550131484,7.999795250620727,7.284187544116174,6.686345753698829,5.83990701137455,7.685245081788273,7.01626515122758,9.702401397153185,7.217965579584201,7.016936942983047,6.67760707137048,8.53388166893782,7.529016222456278,6.541489509220286,9.114216740300028,7.985537432812301,7.6742548426146255,7.329848800024751,6.7503723187499105,6.359073114532385,6.099834863637789,6.940496469857922,7.975351993936833,8.016970250773603,6.740627352255119,5.4495976759841795,8.98441358879652,6.191857759691124,8.664957853080477,5.305125456697094,6.371225214385154,6.912004705247152,7.7373472772623995,8.28405596494804,7.3254637198785035,7.290428219991986,6.875620393400544,9.40341744334616,-1.0,570.0,561.0,943.0,639.0,464.0,852.0,760.0,413.0,41.0,94.0
1.0,0.0,0.0,0.0,0.294118,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.666667,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.607143,0.0,0.0,1.0,0.0,0.0,1.0,0.333333,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.00023763972909,7.319089769302595,6.200291263777421,7.659778660498571,8.12423872618512,7.935436231557823,6.344576631247922,4.782113933850647,6.820516562156762,7.03951989051302,10.369609094907526,6.763414567101382,8.976374685705904,6.121863302352428,9.41747661122284,7.934820132497193,7.3859027261372905,9.574567387210116,7.014843684610152,8.31306149922993,9.34381491382555,7.536700791860884,6.822148311787005,5.756033196933977,7.5764878899153905,7.857880653543781,9.316745981014185,8.329789046071246,5.224339650110164,9.789681937372407,8.571316236728586,8.425324815126256,7.1721517298037005,6.416897245361787,7.070171320300339,10.469720054694085,6.215668475932581,6.4022470344180915,6.061834893190042,7.650241123861565,8.61838501154265,1.0,31.0,762.0,752.0,248.0,939.0,320.0,661.0,87.0,750.0,769.0
0.0,0.0,0.0,1.0,0.470588,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.484483,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.333333,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.285714,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,9.160344352297784,8.299623823432919,7.9625301781834965,9.30033785422717,7.178075339924168,8.88110443064417,5.663057325153378,6.254317947883587,8.133470245107041,7.171727383644087,10.313879089250282,7.225914987492322,9.360445393778038,7.295435053813341,8.167501185374235,8.668043957707761,7.853775174411311,8.700785856849906,8.025320971950523,7.6661252626115015,9.976474905804745,9.318685562521978,7.841978872845519,8.059321117737717,6.004661189676513,9.427938939051058,8.796830608073893,8.10936912439639,6.10589315995104,10.90598832321177,8.274520448216247,7.447268278380725,7.587636861035804,6.227843724416051,8.619889980860465,9.72867589229978,7.542351090079924,6.1318462832167135,6.185342068897589,7.874779375826885,8.94577299980793,-1.0,262.0,78.0,483.0,287.0,502.0,332.0,918.0,471.0,340.0,771.0
0.0,0.0,0.0,1.0,0.294118,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142236,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.666667,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.607143,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.08530861254514,7.753250154833875,7.727029018784382,9.17668305650711,7.537282020552153,7.240518933677739,5.792494031881578,6.532727766827406,7.962714502608164,5.689194524942966,9.322733817132702,6.834088604310409,8.245633218141348,6.709708464027455,6.886869170953165,6.999685833068916,6.053562287701174,7.670009606454514,5.963194501267069,7.273535219928341,7.857111653475319,6.055186591186177,5.397130953948044,5.542447444210379,5.621703980766516,7.4212954258214765,7.142760772968924,6.898816812154371,7.108520440414466,8.387832199894547,5.530033955635709,8.208559855907293,5.364479948314532,5.753738175282683,6.936410635378589,8.344838060771966,7.630200941665354,6.347114697007046,5.843409839974665,7.219656735684823,9.35433251537705,-1.0,602.0,112.0,891.0,242.0,832.0,169.0,81.0,870.0,348.0,861.0
0.0,1.0,0.0,0.0,0.470588,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368548,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333333,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.333333,0.0,0.0,1.0,0.0,0.285714,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.058067758705507,6.623764023262753,8.088724528095192,6.344442314350422,7.744767688903078,8.900572511215314,7.163149291314071,6.793287998310895,7.740815022372173,6.261230387768831,7.29766987563843,5.655194521919895,7.55469270586582,5.505097250583839,8.065692741687736,7.020927015183288,6.6597250803706025,7.049092661758579,7.580195887919767,7.085201925336248,6.5736854881885955,7.682912624741051,6.273269768496248,6.412155741392357,6.239153121357521,6.103183990795263,7.004022066400304,7.166056437395644,5.754016801928114,8.035366372883573,7.293121721831586,6.619618493563588,6.157480291690179,6.273045766795249,6.758982729328895,7.331022447119967,6.091450428675967,6.5272367020083895,6.860777153856973,9.673272290983075,7.275555076131055,-1.0,227.0,18.0,746.0,610.0,725.0,629.0,614.0,672.0,979.0,222.0
0.0,0.0,0.0,1.0,0.117647,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154561,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.562301274458802,6.939605795499587,6.708519129054839,6.998387963225989,6.887606790388079,8.068684401447246,4.487414528833721,5.278000908147202,7.583572238284447,6.74738163819195,6.576109360382449,7.62911535689219,8.213887885713145,7.640465875268899,6.734928861626941,8.417461563592651,6.325383047008638,6.91000651165731,4.9523393914440215,6.608032270582082,8.249990774793897,6.5808403180606865,5.4980422749287,8.01613334504933,5.455176983836405,6.976846576563445,7.632646749311864,7.096846914290885,6.373039618917532,8.95610968414362,5.910980216265946,6.7918178002214225,5.881672119330594,6.700213391744735,7.048531519239526,8.629970625141206,6.949993727771184,6.518622355289551,5.777647326795174,5.148354957373748,9.839282692236205,-1.0,608.0,269.0,842.0,213.0,719.0,946.0,252.0,894.0,677.0,990.0
0.0,1.0,0.0,0.0,0.382353,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274238,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.333333,0.0,0.0,1.0,0.0,0.160714,0.0,0.0,1.0,0.0,1.0,0.0,0.333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.05947496330887,6.7088765720399675,6.296817309221723,5.555855009459876,6.829491751416814,7.6673175785711845,7.042419984248919,6.991983241197485,6.537893435835887,7.39095419964851,8.77399153318282,5.612768701741543,5.986785379398539,5.7610218144447005,7.966386434155631,6.746794758340534,7.7320246639793595,7.666078216072953,4.698335772130544,7.3064944274191905,7.270896240743203,7.324907301903547,5.595917393677388,6.642139253935505,7.290462021275039,6.091398470640222,7.08268155337917,7.182074219498672,6.7580432283015135,8.092559314364138,6.004342295333019,6.841988942018091,7.917747888338808,6.177098778748519,5.949343155726852,8.392257579509712,6.539131666906671,7.891384026937451,6.495823718613095,8.36236618969505,7.458654685592076,1.0,948.0,619.0,877.0,508.0,305.0,269.0,983.0,675.0,302.0,845.0
