X1_f1,X1_f2,X1_f3,X1_f4,X1_f5,X1_f6,X1_f7,X1_f8,X1_f9,X1_f10,X1_f11,X1_f12,X1_f13,X1_f14,X1_f15,X1_f16,X1_f17,X1_f18,X1_f19,X1_f20,X1_f21,X1_f22,X1_f23,X1_f24,X1_f25,X1_f26,X1_f27,X1_f28,X1_f29,X1_f30,X1_f31,X1_f32,X1_f33,X1_f34,X1_f35,X1_f36,X2_f1,X2_f2,X2_f3,X2_f4,X2_f5,X2_f6,X2_f7,X2_f8,X2_f9,X2_f10,X2_f11,X2_f12,X2_f13,X2_f14,X2_f15,X2_f16,X2_f17,X2_f18,X2_f19,X2_f20,X2_f21,X2_f22,X2_f23,X2_f24,X2_f25,label,perm_1,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,perm_8,perm_9,perm_10
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16.519990111793838,17.877754365715838,13.078871473092157,13.853197692305434,16.80559246322492,15.61816488658766,14.374034622080886,13.817152657786243,14.996895930618022,13.796710805505128,16.88687072610461,15.198428974119166,15.25694201449853,14.769344035901423,14.924425098778705,16.73354588037786,14.361927767189684,15.227948358712005,14.081473898038983,16.56667500636555,13.962250878874322,19.46607873599676,15.31293792595872,15.690071727484717,16.019113757247066,-1.0,95.0,277.0,720.0,1523.0,3174.0,343.0,3073.0,480.0,1698.0,2901.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15.691814870681188,17.026307303740364,12.930265563583799,13.80151325267417,16.36232059480618,14.694676427165103,13.975311948133733,12.948206137845402,14.311339546636114,13.13191999534504,16.021105032653146,14.73523663492379,14.395860492374986,14.262524524637897,14.914510386006505,16.52988221499826,14.25247073313723,14.34599077545241,13.608316004598631,16.543495433939896,13.499436948107405,19.123477182987752,14.552942133580368,15.523504165675675,15.798230300347234,-1.0,2774.0,2084.0,651.0,435.0,968.0,2826.0,2874.0,1367.0,352.0,1411.0
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15.568942310962012,16.14789091155731,12.616522409438602,13.75887738163035,15.367757080062955,13.805801790858911,13.868610005568353,12.764504196093359,13.34417232637491,12.625641285877368,16.00341215192461,14.361711614154151,13.543496993558666,14.196136102350703,14.73349214414862,15.868769218352469,13.686922269632007,13.716237222049806,12.925529210599363,16.070792864756847,13.444420150681458,18.331473731596716,14.195753781090813,15.030897624651196,15.458599672467686,-1.0,1732.0,2124.0,2423.0,713.0,2980.0,423.0,1573.0,273.0,464.0,2610.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14.85674997379127,16.400910425288124,12.034588185385822,12.843592181508912,15.861244676861293,14.278380234280357,13.62375003157196,13.564097484573306,14.650520632479939,13.027036715522112,15.285238517382407,14.012007889140136,14.278650356829798,13.692806770132119,13.549505223819413,15.90295898254174,13.237543719509308,14.05606966332823,13.182332745990507,14.867002572284756,13.303734403046503,17.580306150340306,14.941219516787813,14.589191873559361,15.087671458019058,-1.0,998.0,1723.0,2578.0,2588.0,1394.0,2805.0,2451.0,1141.0,222.0,1459.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15.631460639409086,17.711845316071173,12.92085319606063,13.047688952373425,16.782180420739273,14.7561234671778,13.81113536325378,12.832328231048791,14.84297252150256,13.218610608534828,16.28669245957852,14.838180803125075,15.251663728380873,14.516356379917067,14.627709577016805,16.507610183460333,13.472851902876908,14.342252789121789,13.234540770544928,15.882684037059866,13.706585876928731,18.507743203351904,14.64988050284841,15.540322210753889,15.414297073487134,-1.0,665.0,1173.0,3.0,1499.0,3190.0,2097.0,1504.0,812.0,198.0,721.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,15.475653473483753,16.933905718337094,11.9993752840003,12.721932300838166,16.222260849757422,14.518836015864737,13.050386998716604,12.038960777831125,14.577662309719502,12.972009591477702,15.626330017178894,14.231317136218411,14.981506517384494,14.07335828668812,13.936018720732724,16.399214896708603,13.471660072751572,14.238218328871623,12.350101094220623,15.790588940126542,13.684947918957123,17.837255486300272,14.23181764542441,14.774064503606843,15.235820929726328,-1.0,928.0,239.0,2771.0,1100.0,3196.0,2209.0,2253.0,482.0,412.0,1428.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13.968220501406519,16.23500137564346,11.876569908354295,12.038083441576903,15.837832634375648,13.416338814870496,13.060850772744853,12.579273057835854,14.496597223364477,12.448936518551811,14.685060250856319,13.651759718146046,14.27337207071214,13.439819114147763,13.252789702057512,15.677023285624214,12.348467855196532,13.170374093738014,12.335399618496453,14.183011602979073,13.048069401100912,16.621970617695446,14.278162093677503,14.439442356828533,14.482854774259128,-1.0,2151.0,120.0,802.0,1812.0,999.0,3123.0,1509.0,1100.0,70.0,1006.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15.438439472108357,16.106761884664756,12.638207021235374,13.637696716970225,16.223352037178632,14.349895508946869,13.323869744756037,12.526707816917702,13.772158918546348,12.582650402968852,15.733818053556242,14.226118269836439,13.859405580688168,14.193624603826322,14.082480099765075,15.654988587435984,13.62252249091911,14.035087528490969,13.055233240731594,16.072880290949954,12.799458809422678,19.019016964825564,14.28505626554521,15.155671060940897,15.289608101652428,-1.0,1767.0,92.0,906.0,568.0,697.0,2428.0,136.0,224.0,394.0,1138.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,15.906448581814335,16.648911251293715,12.458453801616074,13.681346042263518,16.109771576651198,14.359222382029223,13.353275293224963,13.069427923184277,14.258853157938043,12.643256149084147,15.829227460679117,14.673788318078264,14.427666458875208,14.100419602067184,13.095625231228372,15.546592639011363,13.3313958001437,14.083839633101606,13.448742349083771,15.658771484762422,12.5347472562178,18.512282374108167,14.308895689565327,14.33138400601217,14.912908756330514,-1.0,719.0,809.0,185.0,2843.0,840.0,228.0,1395.0,2685.0,2504.0,813.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16.143742153501833,16.079792554457185,12.473069776598539,13.646745285557671,15.672060390854138,14.384509332063235,13.615890476137809,13.211952395106499,13.49054808226705,12.741162503661268,16.58189086627917,14.315785588262175,13.86812360399539,14.63405569280265,13.911376570679394,15.19753925616979,13.166431061466337,14.287291558347953,12.845604340172676,15.623357294192557,13.207255942763647,18.56961506644354,14.687863705434003,14.82963208172546,15.170860930672712,-1.0,2857.0,1857.0,2091.0,2872.0,2286.0,2077.0,1892.0,551.0,2204.0,1919.0
