@relation australian_perm1

@attribute 0 numeric
@attribute 0.582707 numeric
@attribute 0.232143 numeric
@attribute 1 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0.220702 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0.223881 numeric
@attribute 1 numeric
@attribute 1 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0 numeric
@attribute 0.11202 numeric
@attribute 4.509609721322975 numeric
@attribute 4.594875232140601 numeric
@attribute 2.8419490030321106 numeric
@attribute 4.245720482527522 numeric
@attribute 4.779034358535528 numeric
@attribute 3.2298593968724014 numeric
@attribute 3.374098688584182 numeric
@attribute 4.0373559040143245 numeric
@attribute 5.180791290700952 numeric
@attribute 2.6227196388057954 numeric
@attribute 3.001474844796095 numeric
@attribute 4.389670802974521 numeric
@attribute 4.132990705187924 numeric
@attribute 2.4352027348206624 numeric
@attribute 3.1994969266952276 numeric
@attribute 4.771437258076663 numeric
@attribute 3.392686090493841 numeric
@attribute 3.167066038202273 numeric
@attribute 1.9161035648071325 numeric
@attribute 3.6631242694814334 numeric
@attribute 3.3624641213897006 numeric
@attribute 2.800844185822313 numeric
@attribute 3.914998471890372 numeric
@attribute 4.210926189288043 numeric
@attribute 4.336455234098187 numeric
@attribute 2.8220819147752656 numeric
@attribute 3.350036615869245 numeric
@attribute 4.327887573260032 numeric
@attribute 3.682273658800625 numeric
@attribute class {0,1}

@data
0,0.263158,0.10125,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.074627,1,1,0,0,0.088,0.00146,4.903188468682273,4.150206804149107,4.141652617184054,5.336305682630408,3.593638847868517,2.8456546149287374,4.110160926541057,3.143607757158204,4.630071331155065,3.7996587490499873,4.124169506171746,3.7530200650188874,3.1684886593078674,3.5783059401240807,4.149039715436753,5.281233701884853,2.9077835899775724,2.6390712020374942,2.904461886850431,3.81513083300212,3.8427994092476725,3.3392617063423047,3.5740955883132894,4.0341477931336405,4.794009460621079,3.577268619263617,3.6252478473689718,4.603527044610802,4.420711443966159,1
0,0.253083,0.096786,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.004386,1,1,0,0,0,0,1,0.04,0,2.857714304141186,3.9694357790790513,4.013044567846109,4.354437779974407,2.70391838353046,2.6367380630568835,5.279124959646672,4.315309403460355,4.71405941340816,4.88823192479351,3.853439406343163,3.4743975407238534,3.1024862568056557,3.3493479253513607,3.7088470821208706,2.938042539083887,4.148271960678736,2.9240805810693176,3.209531575471687,2.0481593963242686,2.473504537747584,4.454433795956156,4.317437455320692,3.885172131717391,4.832170476205158,2.9897869128527943,3.105557458013394,5.134737039310625,3.44908652228125,1
0,0.458647,0.017857,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.377193,0,1,0,1,0,0,1,0.2,0,3.5092618378707647,4.058177342013312,3.3213070403554426,4.293847164021975,4.215354134190848,2.1775665927140406,4.374049038529696,4.803956153534928,5.154955396584433,3.6854930565444683,3.6101075251492736,4.615054920800002,4.470995695924028,3.071688636227196,4.115973415085418,4.416746380331857,3.479148201767155,3.8077145485352744,1.9642407141738858,2.8287852086785104,3.0023198392633996,3.965099980311085,5.328725751346465,3.9946461188160707,5.289147174229943,2.85272273533553,3.4380727036350427,4.468084821162974,3.338890589161054,1
0,0.472481,0.053571,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.087719,0,1,0,0,1,0,0,0.07,0,3.482284840089756,3.7699042333758683,2.3172717164592513,3.074959532075536,4.842669991827346,2.6325462176163748,4.468629646583605,3.7186303007270354,4.878259575330587,3.370533073613906,3.4348877629012944,4.2849420833076275,3.865842145549329,2.7045286794018186,2.645618654733449,4.085033760883617,3.16215814113285,2.5224977645218822,1.52168156769882,3.891850498666551,2.8343755910334,3.1116645755758867,3.3307723970045595,2.826778775071571,4.0464489984728065,2.8088600205908425,3.395050414188842,4.393076518768704,2.6187003041084385,1
0,0.284511,0.321429,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.184211,0,1,0,0,1,0,0,0.077,0,4.254019604467935,4.573116145623214,3.692031342793885,4.0471287784917465,2.5213311818262247,3.4271795504412315,4.225680201838997,3.2311146701815914,4.743890049051161,5.177272003087418,2.9297173342547778,2.872288088877756,3.6718754185062856,3.209373043406306,2.8223130253522495,3.2623276066970854,4.526626293128881,2.916415592913858,3.359839331997823,2.656750809244276,3.6323198664184817,3.84335075161179,3.3193082513089482,4.995039436995751,3.632692858972238,2.2808021075810383,3.6027175506919353,5.078502191759828,2.6195761747465665,0
0,0.318346,0.178571,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.263158,0,0,0.089552,0,1,0,0,0,0.01,4.1360075041197515,3.5941116701985845,1.8350233959479427,4.067518024261974,3.340078324084716,2.448643756376523,2.758305393331421,2.8723835770979806,3.804609624713479,2.414717255586748,2.27275809996761,2.9863375371493803,3.468436025223725,2.5341081134942534,3.3225658755546617,3.972812070564627,2.877414055384612,2.7649872879246105,2.193766589179744,3.625374762948874,2.747348333237318,2.8986779395668867,3.236062608555788,4.0857989236359815,3.3240065182931096,2.2687559959222545,2.980391588463308,3.4898250402590003,2.8628743615230725,0
1,0.503759,0.026786,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.096491,0,0,0.014925,1,1,0,0,0.1665,0.00892,4.62514626785783,4.655841513622357,2.934558208083944,5.4434961616525515,4.0252310914171385,2.860191762355526,3.3616319763200266,4.212173487417436,5.187570656704702,2.877798204838875,3.2590489056904732,3.991613950227051,5.100980141690246,3.2608726467148634,4.555321519095958,4.9333908649606615,3.6059618483672553,3.974458316371044,2.3822932110661497,3.8869994204625367,3.9816080553997892,3.4785284473973332,4.621364349562675,4.39580202480375,4.701230603301256,3.3190380102384127,3.895265563872686,3.868681151730545,3.5921652321354167,0
0,0.308271,0.107143,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.260175,0,1,0,0,1,0,0,0,0,4.496419866236811,3.794707054793891,2.3731489252806566,3.4225622180314628,3.89208653181519,2.542906968499353,3.581637688736702,3.9400984422877956,4.780738488797356,3.955190587247815,3.32262131829975,3.338026145077374,4.009668883436481,3.3185527257686283,2.936844706754101,4.4085200530018085,3.722138308086628,2.716942579971342,2.213015561443876,4.260091333559559,3.630461934623513,3.94182804515672,3.313552094022323,3.816595709632987,4.5736326265345415,2.226847437587373,3.567793012060002,3.5802875216787915,2.2081242866751807,0
0,0.22812,0.013393,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.010175,1,1,0,1,1,0,0,0.11,0.0014,4.864184874601472,4.513553465670792,3.4752143028574007,4.617196914333718,4.905705990736791,3.525753162677278,5.32895938739346,3.9819887065298,5.853691463858913,4.234323547573023,4.775880946684241,4.956307089279566,4.862836842629351,3.4607284629540778,4.301329768836893,5.182424241587182,4.469081069728193,2.740581149121682,1.9776941654877136,4.896144502158159,3.537720106451531,4.085691367491751,3.9394494933320505,3.9082314872200197,5.512971753782669,4.040397833429467,4.469626067876321,4.864748473686547,3.645955071325383,1
0,0.298195,0.011964,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.002982,1,1,0,1,1,0,0,0.09,0,5.152362729597539,5.19580063351264,4.528036296374201,5.188116803687931,3.1617599330980877,4.1963200266733525,5.269563242994436,3.952792480179679,5.797947882753289,5.640981188080287,4.866291118391794,4.113071903552604,4.571166949542598,3.887399168050822,4.160155070165637,3.739395183296841,5.776615496501817,2.4816431907207983,3.696619789608012,3.200558237999037,4.537775433593848,4.639401107988006,3.8513349227690017,5.304650672120361,5.225471097919739,3.761052976406237,4.386595045320484,5.200563359532148,3.4722315724446964,1
