@relation credit-a

@attribute X1_f1 numeric
@attribute X1_f2 numeric
@attribute X1_f3 numeric
@attribute X1_f4 numeric
@attribute X1_f5 numeric
@attribute X1_f6 numeric
@attribute X1_f7 numeric
@attribute X1_f8 numeric
@attribute X1_f9 numeric
@attribute X1_f10 numeric
@attribute X1_f11 numeric
@attribute X1_f12 numeric
@attribute X1_f13 numeric
@attribute X1_f14 numeric
@attribute X1_f15 numeric
@attribute X2_f1 numeric
@attribute X2_f2 numeric
@attribute X2_f3 numeric
@attribute X2_f4 numeric
@attribute X2_f5 numeric
@attribute X2_f6 numeric
@attribute X2_f7 numeric
@attribute X2_f8 numeric
@attribute X2_f9 numeric
@attribute X2_f10 numeric
@attribute class {-1,1}

@data
1.0,0.402063492063492,0.1428571428571428,0.0,0.0,0.0,0.0,0.1052631578947368,1.0,1.0,0.0,1.0,0.0,0.24,0.0,1.3410686620962022,2.8576729719168124,2.9884547158564034,2.0999727614100383,2.9509562857472007,2.1010250060272093,2.432727410360737,2.7192785828676995,1.7410878333811204,2.7767403067084704,1
1.0,0.2353968253968253,0.0594642857142857,0.0,0.0,0.6153846153846154,0.0,0.0847368421052631,0.0,1.0,0.0,0.0,0.0,0.22,0.0,1.286906819580297,2.1877493820081173,2.0609528615898296,1.447082569907099,1.6522730536255266,0.9248518541351004,0.9811854284988532,2.029885247801699,0.8849619958529806,2.109030268675462,1
1.0,0.1547619047619047,0.0535714285714285,0.0,0.0,0.6923076923076923,0.0,0.0307017543859649,1.0,1.0,0.0,0.0,0.0,0.08,0.0,1.360796506862792,2.452838973411174,2.0681285553761275,1.6079233565068771,2.004155675734401,1.4528950574964656,1.380070406052062,2.1419286204939776,1.56694555202791,2.9664321407877914,1
1.0,0.2195238095238095,0.1071428571428571,0.0,0.0,0.4615384615384615,0.0,0.0978947368421052,1.0,0.0,0.0149253731343283,0.0,0.0,0.14,0.0001,1.1549521309663526,1.960050345241836,1.3056146672416018,0.8781664389732267,1.1291423961407152,1.2321100612381233,1.249721005885645,1.6713963608913216,1.5567460085741458,1.8896479274678235,1
0.0,0.1719047619047618,0.4464285714285714,0.0,0.0,0.6923076923076923,0.0,0.0307017543859649,0.0,1.0,0.0,0.0,0.0,0.13,0.0,1.3822041984644329,1.3848374211863457,1.4387677394438996,1.3302428619302833,1.3574994614226683,0.8537219269722316,1.0826903120943914,1.6117431398932045,1.1515484468716546,1.725327718191754,1
0.0,0.1322222222222221,0.0833928571428571,0.0,0.0,0.3846153846153846,0.0,0.0263157894736842,1.0,1.0,0.0,1.0,0.0,0.09,0.0,1.17898508267786,1.994813851465268,2.078133479831152,2.051225825705828,2.4344617593392543,2.073727228305811,2.142605773458015,2.06644782814356,1.5669907245732178,2.327281665258988,1
0.0,0.2606349206349206,0.2321428571428571,0.0,0.0,0.1538461538461538,0.0,0.1096491228070175,0.0,0.0,0.1194029850746268,1.0,0.0,0.165,0.012,1.0124887423288658,1.350255755038662,1.3915674679057592,1.1911828501431778,1.2274433548306147,1.3894665405992854,1.6160722939715308,1.4919840441354109,0.943129455215431,0.5519958462685893,-1
1.0,0.3531746031746032,0.0357142857142857,0.0,0.0,0.0,0.0,0.0701754385964912,0.0,0.0,0.1641791044776119,1.0,0.0,0.0,0.00456,0.8575951545865794,2.1301866350175214,1.9929085568768816,1.1351791070059618,1.50002239133383,1.3371502265708155,1.433891221729814,1.6995989376469811,0.6099679839177033,0.9855348105942217,-1
0.0,0.1058730158730159,0.0655357142857142,0.0,0.0,0.0,0.0,0.0789473684210526,0.0,0.0,0.0149253731343283,1.0,0.0,0.05,0.0015,0.4612305414779373,0.932674517726532,1.0394277139576116,0.9248232028236892,0.98841877845205,1.0853573794869826,1.2098993076324271,0.9839741197415116,0.4193262165389004,0.2590052693357128,-1
0.0,0.4987301587301587,0.0535714285714285,0.0,0.0,0.0,0.0,0.087719298245614,0.0,1.0,0.0,0.0,0.0,0.07,0.0,0.7136782856669788,0.8575384521317395,1.0682973169044694,0.8786834801074423,1.3072179090198457,0.513971026931216,0.7450311286270377,0.9919006597092282,0.5488220920575841,1.057282971054358,1
1.0,0.1415873015873016,0.25,0.0,0.0,0.0,0.0,0.0057894736842105,1.0,1.0,0.0,1.0,0.0,0.08,0.0,1.0586457987248552,2.624395180609277,2.8587199684903064,1.9254261359225084,2.7479859609044075,1.87068373295654,2.1396922464480634,2.378602693172952,1.4917104944540032,2.7951423606211314,1
1.0,0.4352380952380952,0.2321428571428571,0.0,0.0,0.6153846153846154,0.0,0.0175438596491228,0.0,0.0,0.044776119402985,0.0,0.0,0.0725,0.0,1.358844929768244,2.0241440164718187,1.3585924826705396,0.7577330082626462,0.8385691394053879,0.8148102085252742,0.9366430378827312,1.6485698302128595,0.9986504936837076,1.2531347751624382,-1
1.0,0.2155555555555555,0.0594642857142857,0.0,0.0,1.0,0.875,0.0,1.0,1.0,0.0,1.0,0.0,0.17,1e-05,2.0195629351446462,3.998044515475556,3.3902740941978875,3.3642134531075207,3.070290215572724,3.236498901319563,2.700266985140477,3.5061267168648813,2.887248270568318,3.554595421529261,1
0.0,0.6996825396825397,0.2514285714285714,0.0,0.0,0.4615384615384615,0.0,0.4912280701754385,0.0,0.0,0.0895522388059701,0.0,0.0,0.18,0.01332,1.6450318115250122,1.3284863937290947,0.8731773466804349,1.0218981006566294,0.9245055408851924,1.2642316893085142,1.4966917081846478,1.6869109003290177,1.5056845456936256,0.6368800866923974,-1
0.0,0.2844444444444444,0.5773214285714285,0.0,0.0,0.0769230769230769,0.0,0.1052631578947368,0.0,0.0,0.1343283582089552,1.0,0.0,0.125,0.0073,1.1974601828319968,1.4223589524754308,1.582640778481334,1.1771243366807045,1.3287271259558766,1.3778287295709108,1.8260015128789675,1.6270697863647945,1.2235107303230843,0.6992756361330948,-1
0.0,0.279047619047619,0.6964285714285714,0.0,0.0,0.0,0.0,0.2456140350877192,0.0,0.0,0.2388059701492537,1.0,0.0,0.0,0.05,1.2978469760689908,1.4564797554881812,1.71438727499175,1.27864923682678,1.4372167427010345,1.538414946836834,1.958054749386092,1.6982194145420042,1.3595883699515003,0.8099004442445215,-1
1.0,0.2209523809523809,0.0535714285714285,0.0,0.0,0.4615384615384615,0.0,0.0701754385964912,0.0,1.0,0.0,1.0,1.0,0.184,0.0,1.7669348808356942,3.616038227408541,3.307789537414771,2.4070497138898483,3.301637452968416,2.061401500768928,2.7781645969688347,3.5536078721012343,1.8022596179667325,2.929446640655666,1
1.0,0.5726984126984127,0.4851785714285714,0.0,0.0,0.3846153846153846,0.125,0.2982456140350877,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6739851936034462,2.485980126089382,2.3790018318448314,1.631563276468474,2.043227492125092,1.24626047829811,1.5563698279132248,2.3862692931776417,1.4859479117947418,2.2478934059991187,-1
1.0,0.0701587301587301,0.3571428571428571,0.5,0.5,0.6153846153846154,0.125,0.0057894736842105,1.0,1.0,0.0,1.0,0.0,0.17,0.0,2.3389612960355186,4.195779451591391,3.797761153493573,2.7879411478643354,3.298325479998065,3.148797009229197,3.094323526517786,3.8060267666827343,2.613243473296228,3.5501601095947244,1
