@relation credit-g

@attribute X1_f1 numeric
@attribute X1_f2 numeric
@attribute X1_f3 numeric
@attribute X1_f4 numeric
@attribute X1_f5 numeric
@attribute X1_f6 numeric
@attribute X1_f7 numeric
@attribute X1_f8 numeric
@attribute X1_f9 numeric
@attribute X1_f10 numeric
@attribute X1_f11 numeric
@attribute X1_f12 numeric
@attribute X1_f13 numeric
@attribute X1_f14 numeric
@attribute X1_f15 numeric
@attribute X1_f16 numeric
@attribute X1_f17 numeric
@attribute X1_f18 numeric
@attribute X1_f19 numeric
@attribute X1_f20 numeric
@attribute X2_f1 numeric
@attribute X2_f2 numeric
@attribute X2_f3 numeric
@attribute X2_f4 numeric
@attribute X2_f5 numeric
@attribute X2_f6 numeric
@attribute X2_f7 numeric
@attribute X2_f8 numeric
@attribute X2_f9 numeric
@attribute X2_f10 numeric
@attribute X2_f11 numeric
@attribute X2_f12 numeric
@attribute X2_f13 numeric
@attribute X2_f14 numeric
@attribute class {-1,1}

@data
1.0,0.1176470588235294,1.0,0.3,0.0300979421151094,1.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.25,0.0,0.5,0.0,0.3333333333333333,1.0,0.0,0.0,4.668894746185557,5.3247675566502775,4.6615189321356985,2.7928453970791245,4.961553501913917,3.3600150774634665,4.267100205775015,4.206672955577487,4.415914093854695,5.434626122332013,4.684317776920405,5.16226025075252,5.765391899098141,4.598011767919398,1
0.0,0.2941176470588235,0.5,0.0,0.1580829756795422,0.0,0.25,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1428571428571428,1.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,2.6648984171680423,2.9102785880492417,2.717490041648981,2.1476636928813884,2.8392177994139525,2.5199553754197703,2.7470140055294614,2.701778068868963,2.4659113603506104,2.797058879898896,3.175217218949807,3.112342757369636,3.01489573039238,3.0620500076959605,1
1.0,0.4705882352941176,1.0,0.3,0.1701331572576207,1.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.5714285714285714,1.0,0.5,0.0,0.6666666666666666,0.0,1.0,0.0,5.806408497346567,6.583346494108032,6.16765619418962,4.139451481383244,6.403189430548458,5.05800811305468,4.626474255386792,5.434869553070189,6.491910674174348,6.309553258023923,5.961424711827533,6.359679634890156,7.253554805383946,6.818513335957192,-1
0.0,0.2941176470588235,0.5,0.1,0.1493342137118961,1.0,1.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.5357142857142857,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,5.373512207576933,7.019603882465432,6.523520067309876,3.727146305194248,6.244236855193216,5.115176046852349,5.533435946661094,4.57584424671446,5.479856407032207,5.739197283162688,5.431372962347993,6.012288841848639,6.630790948192394,5.451972666814002,-1
1.0,0.1029411764705882,0.5,0.9,0.104104765048971,0.75,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.1607142857142857,1.0,0.5,0.0,0.6666666666666666,0.0,1.0,0.0,4.710958035819323,4.97474988058954,4.390736257375527,3.083104790959163,4.850238869251753,3.099211768071241,2.932240187753764,4.050365093641867,4.793367659848121,4.925405908198707,4.500696520696021,4.318023611906217,4.648970495753629,4.925339639517582,-1
0.6666666666666666,0.088235294117647,0.5,0.0,0.054473423572136,0.25,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.5178571428571429,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,4.834067866109121,5.652946463325295,4.692630832712119,2.8570431488463632,5.3575256407142975,3.631526476050558,3.4019939622465127,4.526698046060091,4.328337373159046,5.875385118110986,4.4177926740816345,4.8409593991924815,4.784927471906119,4.034278481567345,1
0.3333333333333333,0.2058823529411764,0.5,0.1,0.7002310993727303,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,0.3392857142857143,1.0,1.0,0.0,1.0,0.0,1.0,0.0,5.061877693143538,5.123171433137951,5.152659028061788,3.142021023144109,5.606814104351771,4.756877675565041,3.916698369689701,4.708335285824041,5.273274145182933,4.912462717464508,5.340921669195346,5.289673695031245,4.898583543992636,4.884138232606539,1
1.0,0.2647058823529412,0.5,0.0,0.0568394409596126,1.0,0.75,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.1071428571428571,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,4.564165697407623,4.656400648081512,4.100428846984083,2.9930796215537345,4.809965703396935,3.429041329439246,2.98451916401441,4.316289917592671,3.991786647662434,4.966577056507877,4.471352501579634,4.076677895445696,5.412631969771605,4.678191967852112,-1
1.0,0.0294117647058823,0.5,0.4,0.0598657422691757,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.7678571428571429,1.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,4.313521040977561,4.139358215715566,3.8319614783209337,2.719204403358207,4.209122637915593,2.942049112644148,2.1028810378656697,3.9873411597265513,4.00044012317747,4.462841238208937,3.992078419022195,3.674084312094406,4.247193212604056,3.473095724405164,-1
0.3333333333333333,0.2941176470588235,1.0,0.3,0.082150324639595,0.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.5178571428571429,1.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,3.7969024790555657,4.205843369245032,4.254949128387989,3.3012900057148533,4.1962456177103205,3.662951131303639,3.628644274687632,4.281247619214041,4.042120892913777,4.478783920716951,4.5339589721599545,4.487694127199363,4.776979583057358,4.478562403056015,-1
